playerRanking,games_played,gamesStarted,minutes,points,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,turnovers,blocks,blocks_against,personal_fouls,fouls_drawn,pir,player.code,player_name,age,player.imageUrl,team,player.team.tvCodes,team_name,player.team.imageUrl,base_fantasy_points,fantasy_points,fantasy_per_minute,captain_score,captain_fantasy_points
257,80.0,80.0,30.477083333333333,16.9,3.5,7.6,45.8%,2.0,5.8,35.1%,3.8,4.9,78.1%,0.4,3.1,3.5,5.4,1.1,2.0,0.0,0.5,1.8,4.7,18.4,005985,"JAMES, MIKE",34,https://media-cdn.incrowdsports.com/6798f111-3618-4825-b32e-11741d4229c0.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,27.299999999999997,27.299999999999997,0.895755007177524,35.49104166666666,54.599999999999994
250,76.0,75.0,31.42214912280702,15.2,3.1,5.8,52.6%,2.1,5.3,39.3%,2.9,3.3,87.6%,1.4,3.5,4.9,1.7,1.1,1.3,0.2,0.4,2.1,4.0,17.0,008962,"HAYES-DAVIS, NIGEL",30,https://media-cdn.incrowdsports.com/37b00e59-560b-4b65-a269-9d2b0b8776bc.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,23.3,23.3,0.7415151620895418,32.11888157894737,46.6
245,75.0,66.0,29.25133333333333,18.2,4.2,8.2,51.6%,2.4,6.0,39.9%,2.5,2.8,89.6%,0.6,2.5,3.1,3.6,0.9,2.9,0.2,0.7,2.5,3.4,15.5,012774,"NUNN, KENDRICK",29,https://media-cdn.incrowdsports.com/78428dfc-c965-4e72-8eb6-5e362eeaa849.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,23.3,23.3,0.796544886842765,31.73513333333333,46.6
262,37.0,37.0,27.32927927927928,19.0,6.2,12.0,52%,0.8,2.2,36.1%,4.1,5.6,73.4%,0.5,2.1,2.6,7.3,1.0,2.3,0.1,0.6,2.3,6.6,22.8,012608,"SHORTS, TJ",27,https://media-cdn.incrowdsports.com/a3302ca0-0a06-4b2e-8065-f93d4b605f36.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png,31.400000000000006,31.400000000000006,1.148950899111602,30.8795945945946,62.80000000000001
251,76.0,69.0,25.52127192982456,11.7,2.3,4.1,56.9%,1.3,4.0,33%,3.1,3.6,86.2%,0.6,2.3,3.0,6.2,1.2,2.4,0.0,0.3,2.3,4.9,17.1,005928,"CAMPAZZO, FACUNDO",33,https://media-cdn.incrowdsports.com/3d4b3199-c570-491d-b1cf-76f82c2e229c.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,22.0,22.0,0.8620260017013671,30.61879385964912,44.0
258,67.0,36.0,26.443283582089556,13.8,3.5,5.6,62.3%,1.0,3.2,31.8%,3.7,4.7,78.8%,2.1,4.2,6.3,1.8,1.0,1.9,0.4,0.5,1.7,4.5,18.5,012201,"MONEKE, CHIMA",29,https://media-cdn.incrowdsports.com/c99df4e9-3587-4db0-8114-3972beeeb9d9.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png,23.700000000000003,23.700000000000003,0.8962578314613083,30.400995024875623,47.400000000000006
263,38.0,38.0,30.39342105263158,19.8,4.9,7.6,64.5%,1.9,4.9,38.2%,4.3,4.9,88.6%,1.9,4.7,6.6,1.8,0.9,1.1,0.2,0.3,1.3,3.4,23.7,003469,"VEZENKOV, SASHA",29,https://media-cdn.incrowdsports.com/da9926d3-ef9c-4704-930c-4be3eb1fd3c0.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,29.999999999999993,29.999999999999993,0.9870557166976922,30.372675438596485,59.999999999999986
259,60.0,45.0,28.339722222222225,13.6,4.9,7.5,65.3%,0.0,0.0,0%,3.8,6.2,61.7%,2.4,4.0,6.4,1.5,1.0,1.8,0.8,0.4,2.5,6.2,19.8,003842,"LESSORT, MATHIAS",29,https://media-cdn.incrowdsports.com/b283a9ed-2227-43ef-8f8c-97fdc76e8b12.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,24.8,24.8,0.8750967918998657,30.19397222222222,49.6
255,63.0,44.0,29.224338624338625,14.5,2.4,4.5,52.3%,2.3,5.9,39.2%,2.9,3.2,89.7%,0.3,2.5,2.7,4.8,1.2,1.9,0.0,0.3,1.2,4.1,18.0,007200,"LARKIN, SHANE",32,https://media-cdn.incrowdsports.com/29f7e3f7-2a14-4bf2-a5ab-3fb89fdfe607.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,23.9,23.9,0.8178114929210268,30.15243386243386,47.8
261,51.0,47.0,27.08954248366013,17.4,3.3,5.6,58.2%,2.1,5.2,40.1%,4.6,5.2,87.6%,1.8,4.3,6.1,1.5,0.9,1.8,0.3,0.2,1.9,4.5,20.7,000796,"MIROTIC, NIKOLA",33,https://media-cdn.incrowdsports.com/a771b68b-2056-4318-83a0-24b2ffb36d11.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,26.8,26.8,0.9893116510241997,29.96895424836601,53.6
